book bibliographic info,file,titleref,gcode
1,Richlin1,"Richlin, <i>Slave Theater in the Roman Republic: Plautus and Popular Comedy</i> (2018)",88g-DwAAQBAJ
2,Libson,"Libson, <i>Law and self-knowledge in the Talmud</i> (2018)",UuRUDwAAQBAJ
3,Petrovic,"Petrovic and Petrovic, <i>Inner Purity and Pollution in Greek Religion</i> (2016)",wBM1DQAAQBAJ
4,Blidstein,"Blidstein, <i>Purity Community and Ritual in Early Christian Literature</i> (2017)",KNKdDgAAQBAJ
5,Alikin2,"Alikin, <i>The Earliest History of the Christian Gathering</i> (2009)",dBuzG2enXxMC
6,Ando_Rupke,"Ando and Ruepke, <i>Religion and Law in Classical and Christian Rome</i> (2006)",uZ5JP8gZgJEC
7,Beckt_s,"Beck, <i>The Religion of the Mithras Cult in the Roman Empire: Mysteries of the Unconquered Sun</i> (2006)",GZEUDAAAQBAJ
8,Book1,"Matthews, <i>Perfect Martyr: The Stoning of Stephen and the Construction of Christian Identity</i> (2010)",no8VDAAAQBAJ
9,Book2,"Peppard, <i> The Son of God in the Roman World: Divine Sonship in its Social and Political Context</i> (2011)",AOY2YJizbdAC
10,Book3,"Lieu, <i>Marcion and the Making of a Heretic: God and Scripture in the Second Century</i> (2015)",PtXeBgAAQBAJ
11,Book5,"Huebner, <i>The Family in Roman Egypt: A Comparative Approach to Intergenerational Solidarity </i> (2013)",EymbDwAAQBAJ
12,Book6,"Perry, <i>Gender, Manumission, and the Roman Freedwoman</i> (2014)",SQxaAQAAQBAJ
13,Cain,"Cain, <i>Jerome and the Monastic Clergy: A Commentary on Letter 52 to Nepotian</i> (2013)",bZKZL2vSPdEC
14,Clark,"Clark, <i>Divine Qualities: Cult and Community in Republican Rome</i> (2007)",zt8oAAAAYAAJ
15,Cohen,"Cohen, <i>The Significance of Yavneh and other Essays in Jewish Hellenism</i> (2010)",mmj4RcszCHgC
16,companion1,"Hubbard, <i>A Companion to Greek and Roman Sexualities</i> (2014)",none
17,Gagarin,"Gagarin and Cohen, <i>The Cambridge Companion to Ancient Greek Law</i> (2005)",none
18,Gruen1,"Gruen, <i>Rethinking the Other in Antiquity</i> (2011)",3gGPgMYv7FsC
19,Johnston1,"Johnston, <i>Ancient Greek Divination</i> (2008)",cs_37RJqCzUC
20,Lateiner,"Lateiner and Spatharas, <i>The Ancient Emotion of Disgust</i> (2016)",_QcBDQAAQBAJ
21,Moss1,"Moss, <i>The Other Christs: Imitating Jesus in Ancient Christian Ideologies of Martyrdom</i> (2010)",EfsHl74FzMIC
22,Nicklas,"Nicklas et al., <i>Other Worlds and Their Relation to This World: Early Jewish and Ancient Christian Traditions</i> (2010)",VOB5DwAAQBAJ
23,Okland,"Seim and Okland, <i>Metamorphoses: Resurrection, Body and Transformative Practices in Early Christianity</i> (2009)",bc6a09iU_q0C
24,Ramelli,"Ramelli, <i>The Christian Doctrine of Apokatastasis: A Critical Assessment from the New Testament to Eriugena</i> (2013)",YfGZAAAAQBAJ
25,Roetzel,"Boustan Janssen and Roetzel, <i>Violence, Scripture, and Textual Practices in Early Judaism and Christianity</i> (2010)",X1huk6yw198C
26,Satlow,"Satlow, <i>The Gift in Antiquity</i> (2013)",WsZgOKsjsiQC
27,Theissenwithoutn,"Thiessen, <i>Contesting Conversion: Genealogy, Circumcision, and Identity in Ancient Judaism and Christianity</i> (2011)",ebpoAgAAQBAJ
28,Vinzent1,"Vinzent, <i>Christ's Resurrection in Early Christianity and the Making of the New Testament</i> (2013)",gTBgQvpep7cC
29,Alvar1,"Alvar Ezquerra, <i>Romanising Oriental Gods: Myth, Salvation, and Ethics in the Cults of Cybele, Isis, and Mithras</i> (2008)",FH841IBf7mwC
30,Collins,"Collins, <i>The Apocalyptic Imagination: An Introduction to Jewish Apocalyptic Literature</i> (2016)",PxjNsMrzI-kC
31,Ernst2,"Ernst, <i>Martha from the Margins: The Authority of Martha in Early Christian Tradition</i> (2009)",BdioD9Wb0lgC
32,Risto1,"Nissinen and Uro, <i>Sacred Marriages: The Divine-Human Sexual Metaphor from Sumer to Early Christianity</i> (2008)",fvAQAQAAIAAJ
33,Demoen,"Demoen and Praet, <i>Theios Sophistes: Essays on Flavius Philostratus' Vita Apollonii</i> (2009)",wIumAX2khewC
34,Edmonds,"Edmonds, <i>Myths of the Underworld Journey: Plato, Aristophanes, and the ‘Orphic’ Gold Tablets</i> (2004)",I_YkMvUVoyYC
35,Bickerman,"Bickerman and Tropper, <i>Studies in Jewish and Christian History</i> (2007)",IoMtDgAAQBAJ
36,Pucci,"Pucci, <i>Euripides' Revolution Under Cover: An Essay</i> (2016)",SIZRDAAAQBAJ
37,Levine,"Levine, <i>The Ancient Synagogue, The First Thousand Years</i> (2005)",ke5pM7EryagC
38,Parker,"Parker, <i>Polytheism and Society at Athens</i> (2005)",ff51JeXhHXUC
39,Mueller,"Mueller, <i>Roman Religion in Valerius Maximus</i> (2002)",326BAgAAQBAJ
40,Faraone1,"Faraone, <i>Ancient Greek Love Magic</i> (1999)",Aq-Yg6B51NsC
41,Tal,"Nikolsky and Ilan, <i>Rabbinic Traditions Between Palestine and Babylonia</i> (2014)",v2i7AwAAQBAJ
42,Versnel,"Versnel, <i>Coping with the Gods: Wayward Readings in Greek Theology</i> (2011)",jSANEJjPHAIC
43,Rosen-zvi,"Rosen-Zvi, <i>The Mishnaic Sotah Ritual: Temple, Gender and Midrash</i> (2012)",dXbKf20bD-0C
44,Hirshman,"Hirshman, <i>The Stabilization of Rabbinic Culture, 100 C</i> (2009)",SXcz_sIb5fUC
45,Cadwalder_s,"Cadwallader, <i>Stones, Bones and the Sacred: Essays on Material Culture and Religion in Honor of Dennis E</i> (2016)",WEOvDQAAQBAJ
46,Sider,"Sider, <i>Christian and Pagan in the Roman Empire: The Witness of Tertullian</i> (2001)",bmi2CXYLR1sC
47,Mikalson,"Mikalson, <i>New Aspects of Religion in Ancient Athens: Honors, Authorities, Esthetics, and Society</i> (2016)",MS3ODAAAQBAJ
48,Langlands,"Langlands, <i>Exemplary Ethics in Ancient Rome</i> (2018)",pHlnDwAAQBAJ
50,Singer,"Singer and van Eijk, <i>Galen: Works on Human Nature: Volume 1, Mixtures (De Temperamentis)</i> (2018)",UwRmtgEACAAJ
51,Pandey,"Pandey, <i>The Poetics of Power in Augustan Rome</i> (2018)",sLxsDwAAQBAJ
52,Keeline,"Keeline, <i>The Cambridge Companion to Cicero's Philosophy</i> (2018)",CTdgDwAAQBAJ
53,Huebner,"Huebner, <i>The Family in Roman Egypt: A Comparative Approach to Intergenerational Solidarity and Conflict</i> (2013)",iX0YAAAAQBAJ
54,Bar Asher Siegal,"Bar Asher Siegal, <i>Jewish-Christian Dialogues on Scripture in Late Antiquity: Heretic Narratives of the Babylonian Talmud</i> (2018)",HZSODwAAQBAJ
55,Ruffini,"Ruffini, <i>Life in an Egyptian Village in Late Antiquity: Aphrodito Before and After the Islamic Conquest</i> (2018)",rLxsDwAAQBAJ
56,Kanarek,"Kanarek, <i>Biblical narrative and formation rabbinic law</i> (2014)",sXvsAwAAQBAJ
57,Lorberbaum,"Lorberbaum, <i>In God's Image: Myth, Theology, and Law in Classical Judaism</i> (2015)",QKSUBgAAQBAJ
58,Jassen,"Jassen, <i>Scripture and Law in the Dead Sea Scrolls</i> (2014)",8UoHAwAAQBAJ
59,Mcclellan,"Mcclellan, <i>Paulinus Noster: Self and Symbols in the Letters of Paulinus of Nola</i> (2019)",JDGdDwAAQBAJ
60,Marzano,"Marzano, <i>>The Roman Villa in the Mediterranean Basin Late Republic to Late Antiquity</i> (2018)",UCViDwAAQBAJ
61,Mcglothlin,"Mcglothlin, <i>Resurrection as Salvation: Development and Conflict in Pre-Nicene Paulinism</i> (2018)",z8hhDwAAQBAJ
62,Tabbernee,"Tabbernee, <i>Fake Prophecy and Polluted Sacraments: Ecclesiastical and Imperial Reactions to Montanism</i> (2007)",j2dAY4kKZRgC
63,Horkey,"Horkey, <i>Cosmos in the Ancient World</i> (2019)",zjCdDwAAQBAJ
64,Hellholm,"Hellholm et al., <i>Ablution, Initiation, and Baptism: Late Antiquity, Early Judaism, and Early Christianity</i> (2010)",RyLwsa8E1KkC
65,Davies,"Davies, <i>Rome's Religious History: Livy, Tacitus and Ammianus on their Gods</i> (2004)",_-VIZrVnW6EC
66,Gwynne,"Gwynne, <i>Logic, Rhetoric and Legal Reasoning in the Qur'an: God's Arguments</i> (2004)",YYxSAwAAQBAJ
67,vandenBroek,"van den Broek, <i>Gnostic Religion in Antiquity</i> (2013)",dE1WGYqzbnYC
68,Rupke,"Rupke, <i>Religious Deviance in the Roman World Superstition or Individuality?</i> (2016)",IesIDAAAQBAJ
69,Ando,"Ando, <i>Imperial Ideology and Provincial Loyalty in the Roman Empire</i> (2013)",26kwDwAAQBAJ
70,Rosenblum,"Rosenblum, <i>The Jewish Dietary Laws in the Ancient World</i> (2016)",5u2SDQAAQBAJ
71,Brodd_Reed,"Brodd and Reed, <i>Rome and Religion: A Cross-Disciplinary Dialogue on the Imperial Cult</i> (2011)",xGU_XwAACAAJ
72,Wynne,"Wynne, <i>Horace and the Gift Economy of Patronage</i> (2019)",qJCuDwAAQBAJ
73,Rojas,"Rojas, <i>The Remains of the Past and the Invention of Archaeology in Roman Anatolia: Interpreters, Traces, Horizons</i> (2019)",v4K0DwAAQBAJ
74,Galinsky,"Galinsky, <i>Memory in Ancient Rome and Early Christianity</i> (2016)",v4K0DwAAQBAJ
75,Kowalzig,"Kowalzig, <i>Singing for the Gods: Performances of Myth and Ritual in Archaic and Classical Greece</i> (2007)",NK1PswEACAAJ
76,Allison,"Allison, <i>4 Baruch</i> (2018)",hjrEDwAAQBAJ
77,Hillier,"Hillier, <i>Arator on the Acts of the Apostles: A Baptismal Commentary</i> (1993)",rpBXjVdOtlAC
78,Shannon-Henderson,"Shannon-Henderson, <i>Power Play in Latin Love Elegy and its Multiple Forms of Continuity in Ovid’s <Metamorphoses></i> (2019)",95SBDwAAQBAJ
79,Cain,"Cain, <i>The Greek Historia Monachorum in Aegypto: Monastic Hagiography in the Late Fourth Century</i> (2016)",W5kDDAAAQBAJ
80,McGowan,"McGowan, <i>Ascetic Eucharists: Food and Drink in Early Christian Ritual Meals</i> (1999)",none
81,Hickson,"Hickson, <i>Roman prayer language: Livy and the Aneid of Vergil</i> (1993)",4ZsDDgAAQBAJ
82,Simmons,"Simmons, <i>Arnobius of Sicca: Religious Conflict and Competition in the Age of Diocletian</i> (1995)",none
83,GrypeouSpurling,"Grypeou and Spurling, <i>The Exegetical Encounter between Jews and Christians in Late Antiquity</i> (2009)",eRX2ft6Q2D4C
84,Keddie,"Keddie, <i>Class and Power in Roman Palestine: The Socioeconomic Setting of Judaism and Christian Origins</i> (2019)",7KCsDwAAQBAJ
85,Marmodoro,"Marmodoro and Prince, <i>Causation and Creation in Late Antiquity</i> (2015)",7Wt2BgAAQBAJ
86,Huffman,"Huffman, <i>A History of Pythagoreanism</i> (2019)",o-qcAQAACAAJ
87,Konig,"KÃ¶nig, <i>Saints and Symposiasts: The Literature of Food and the Symposium in Greco-Roman and Early Christian Culture</i> (2012)",1xjM8ciC4vAC
88,Sweeney,"Sweeney, <i>Foundation Myths and Politics in Ancient Ionia</i> (2013)",1egfAgAAQBAJ
89,Tor,"Tor, <i>Mortal and Divine in Early Greek Epistemology</i> (2017)",tew0DwAAQBAJ
90,Dilley,"Dilley, <i>Monasteries and the Care of Souls in Late Antique Christianity: Cognition and Discipline</i> (2019)",G40wDwAAQBAJ
91,Segev,"Segev, <i>Aristotle on Religion</i> (2017)",A-o4DwAAQBAJ
92,Hidary,"Hidary, <i>Rabbis and Classical Rhetoric: Sophistic Education and Oratory in the Talmud and Midrash</i> (2017)",Csk-DwAAQBAJ
93,HasanRokem,"Hasan Rokem, <i>Tales of the Neighborhood Jewish Narrative Dialogues in Late Antiquity</i> (2003)",BoBeDwAAQBAJ
94,Carr,"Carr, <i>Writing on the Tablet of the Heart: Origins of Scripture and Literature</i> (2004)",uxqx22DYR4UC
95,Lidonnici,"Lidonnici and Lieber, <i>Heavenly Tablets: Interpretation, Identity and Tradition in Ancient Judaism</i> (2007)",MD5AmraqWC8C
96,Hayes,"Hayes, <i>What's Divine about Divine Law?: Early Perspectives</i> (2015)",5DFRDwAAQBAJ
97,Albrecht,"Albrecht, <i>The Divine Father: Religious and Philosophical Concepts of Divine Parenthood in Antiquity</i> (2014)",myPvAgAAQBAJ
98,Piotrkowski,"Piotrkowski, <i>Priests in Exile: The History of the Temple of Onias and Its Community in the Hellenistic Period</i> (2019)",lXacDwAAQBAJ
99,Tuori,"Tuori, <i>The Emperor of Law: The Emergence of Roman Imperial Adjudication<</i> (2016)",OsdjDQAAQBAJ
100,Dawson,"Dawson, <i>Christian Figural Reading and the Fashioning of Identity</i> (2001)",uMslDQAAQBAJ
101,Hitch,"Hitch, <i>Animal sacrifice in the ancient Greek world</i> (2017)",_RcuDwAAQBAJ
102,Hanghan,"Hanghan, <i>Lettered Christians: Christians, Letters, and Late Antique Oxyrhynchus</i> (2019)",mkGCDwAAQBAJ
103,Wilson,"Wilson, <i>The Sentences of Sextus</i> (2012)",CQnh2DbjBb8C
104,Griffiths,"Griffiths, <i>The Isis-Book (Metamorphoses, Book XI)</i> (1975)",geh5DwAAQBAJ
105,Brouwer,"Brouwer, <i>The Stoic Sage: The Early Stoics on Wisdom, Sagehood and Socrates</i> (2013)",rrZEAgAAQBAJ
106,Burton,"Burton, <i>Dionysus and Rome: Religion and Literature</i> (2009)",sPZOPgAACAAJ
107,Conybeare,"Conybeare, <i>The Irrational Augustine</i> (2006)",Trdep-CGxvEC
108,Cornelli,"Cornelli, <i>In Search of Pythagoreanism: Pythagoreanism as an Historiographical Category</i> (2013)",p0ihjZufKncC&pg
109,Damm,"Damm, <i>Religions and Education in Antiquity</i> (2018)",DIR1DwAAQBAJ
110,Driediger-Murphy,"Eidinow and Driediger-Murphy, <i>Esther Eidinow, Ancient Divination and Experience</i> (2019)",Zx6yDwAAQBAJ
111,FreyLevison,"Frey and Levison, <i>The Holy Spirit, Inspiration, and the Cultures of Antiquity Multidisciplinary Perspectives</i> (2014)",3cLoBQAAQBAJ
112,Kaplan,"Kaplan, <i>My Perfect One: Typology and Early Rabbinic Interpretation of Song of Songs</i> (2015)",-RPsCQAAQBAJ
113,McDonough,"McDonough, <i>Christ as Creator: Origins of a New Testament Doctrine</i> (2009)",3ZCkAgJqImcC
114,Monnickendam,"Monnickendam, <i>Jewish Law and Early Christian Identity: Betrothal, Marriage, and Infidelity in the Writings of Ephrem the Syrian</i> (2020)",aoHCDwAAQBAJ
115,Sommerstein,"Sommerstein and Torrance, <i>Oaths and Swearing in Ancient Greece</i> (2014)",M-oxCgAAQBAJ
116,Thonemann,"Thonemann, <i>An Ancient Dream Manual: Artemidorus' the Interpretation of Dreams</i> (2020)",QZjFDwAAQBAJ
117,Fishbane,"Fishbane, <i>Biblical Myth and Rabbinic Mythmaking</i> (2003)",6qZg42W9EFcC
118,Gaifman,"Gaifman, <i>Aniconism in Greek Antiquity</i> (2012)",x
119,Jaffee,"Jaffee, <i>Torah in the Mouth: Writing and Oral Tradition in Palestinian Judaism 200 BCE - 400 CE</i> (2001)",F7USWMRAwGYC
120,Miller,"Miller and Clay, <i>Tracking Hermes, Pursuing Mercury</i> (2019)",UviFDwAAQBAJ
121,Lunn-Rockliffe,"Lunn-Rockliffe, <i>The Letter of Mara bar Sarapion in Context</i> (2007)",x
122,Naiden,"Naiden, <i>Smoke Signals for the Gods: Ancient Greek Sacrifice from the Archaic through Roman Periods</i> (2013)",CroTDAAAQBAJ
123,Reif,"Reif, <i>Problems with Prayers: Studies in the Textual History of Early Rabbinic Liturgy</i> (2006)",GeT2sEO6UxwC
124,Bricault,"Bricault et al., <i>Orphism and Christianity in Late Antiquity</i> (2007)",_g6XXkG_SC0C
125,Clackson,"Clackson et al., <i>Migration, Mobility and Language Contact in and around the Ancient Mediterranean</i> (2020)",yBzhDwAAQBAJ
126,Fletcher,"Fletcher, <i>Performing Oaths in Classical Greek Drama</i> (2012)",q1W2CPsG_5IC
127,Eidinow,"Eidinow, <i>Oracles, Curses, and Risk Among the Ancient Greeks</i> (2007)",x
128,Fraade,"Fraade, <i>Legal Fictions: Studies of Law and Narrative in the Discursive Worlds of Ancient Jewish Sectarians and Sages</i> (2011)",e6UC1klL7rsC
129,Fabian Meinel,"Meinel, <i>Pollution and Crisis in Greek Tragedy</i> (2015)",T6ewBgAAQBAJ
130,Engberg-Pedersen,"Engberg-Pedersen, <i>Cosmology and Self in the Apostle Paul: The Material Spirit</i> (2010)",kKlEEEj5lKAC
131,Fonrobert,"Fonrobert and Jaffee, <i>The Cambridge Companion to the Talmud and Rabbinic Literature Cambridge Companions to Religion</i> (2007)",4dYzI7HRYtoC
132,Penniman,"Penniman, <i>Raised on Christian Milk: Food and the Formation of the Soul in Early Christianity</i> (2017)",5mMlDwAAQBAJ
133,Moss,"Moss, <i>Ancient Christian Martyrdom: Diverse Practices, Theologies, and Traditions</i> (2012)",W5r2FBKu3_IC
134,Hahn,"Hahn Emmel and Gotter, <i>Usages of the Past in Roman Historiography</i> (2008)",D7kNQ-l2f3MC
135,Harrison,"Harrison, <i>Augustine's Way into the Will: The Theological and Philosophical Significance of De libero</i> (2006)",DCcTDAAAQBAJ
136,Grabbe,"Grabbe, <i>Introduction to Second Temple Judaism: History and Religion of the Jews in the Time of Nehemiah, the Maccabees, Hillel and Jesus</i> (2010)",i89-9fdNUcAC
137,Gardner,"Gardner, <i>The Origins of Organized Charity in Rabbinic Judaism</i> (2015)",KrwsCQAAQBAJ
138,Flynn,"Flynn, <i>Children in Ancient Israel: The Hebrew Bible and Mesopotamia in Comparative Perspective</i> (2018)",oh1rDwAAQBAJ
139,Dobroruka,"Dobroruka, <i>Second Temple Pseudepigraphy: A Cross-cultural Comparison of Apocalyptic Texts and Related Jewish Literature</i> (2014)",5wPpBQAAQBAJ
140,InwoodWarren,"Inwood and Warren, <i>Body and Soul in Hellenistic Philosophy</i> (2020)",Mo_fDwAAQBAJ
141,JohnsonParker,"Johnson and Parker, <i>?Ancient Literacies: The Culture of Reading in Greece and Rome</i> (2009)",BapsyrJDkjMC
142,Schaps and Katzoff,"Katzoff, <i>Law in the Documents of the Judaean Desert</i> (2005)",YZurDijtsgAC
143,Kaster,"Kaster, <i>Emotion, Restraint, and Community in Ancient Rome</i> (2005)",GskygueJlqgC
144,Jonquiere,"JonquiÃ¨re, <i>Prayer in Josephus Ancient Judaism and Early Christianity</i> (2007)",6ktgNxHwLWgC
145,Jouanna,"Jouanna, <i>Greek Medicine from Hippocrates to Galen</i> (2012)",h3W2lK3gZ7YC
146,Niehoff,"Niehoff, <i>Jewish Exegesis and Homeric Scholarship in Alexandria</i> (2011)",Ex21hEqXwI0C
147,Johnston_Mantike,"Johnston and Struck, <i>Mantikê: Studies in Ancient Divination</i> (2005)",To32DQAAQBAJ
148,Jedan,"Jedan, <i>Stoic Virtues: Chrysippus and the Religious Character of Stoic Ethics</i> (2009)",toKICPyI9QEC
149,Martens,"Martens, <i>One God, One Law: Philo of Alexandria on the Mosaic and Greco-Roman Law</i> (2003)",swgpODHzF_cC
150,Martijn,"d'Hoine and Martijn, <i>All From One: A Guide to Proclus</i> (2017)",1g6DDQAAQBAJ
151,Levison,"Levison, <i>Filled with the Spirit</i> (2009)",MLD6yi3XbkUC
152,Long,"Long, <i>From Epicurus to Epictetus Studies in Hellenistic and Roman Philosophy</i> (2006)",EdsaI3c7wy8C&
153,Morrison,"Morrison, <i>Apollonius Rhodius, Herodotus and Historiography</i> (2020)",VG7CDwAAQBAJ
154,Liddel,"Liddel, <i>Decrees of Fourth-Century Athens (403/2-322/1 BC): Volume 2, Political and Cultural Perspectives</i> (2020)",pRfdvgEACAAJ&
155,Kraemer,"Kraemer, <i>Unreliable Witnesses: Religion, Gender, and History in the Greco-Roman Mediterranean</i> (2010)",Bjp7_F4m2FIC&
156,O'Brien,"O'Brien, <i>The Demiurge in Ancient Thought</i> (2015)",KQNEBgAAQBAJ
157,Honigman,"Honigman, <i>The Septuagint and Homeric Scholarship in Alexandria: A Study in the Narrative of the Letter of Aristeas</i> (2003)",9i_7a2KKUAcC&
158,Laes-Goodey,"Laes Goodey and Rose, <i>Disabilities in Roman Antiquity: Disparate Bodies</i> (2013)",TQsxiCVotx8C&
159,Klawans purity,"Klawans, <i>Purity, Sacrifice, and the Temple: Symbolism and Supersessionism in the Study of Ancient Judaism</i> (2009)",SQN6DwAAQBAJ
160,Klawans,"Klawans, <i>Heresy, Forgery, Novelty: Condemning, Denying, and Asserting Innovation in Ancient Judaism</i> (2019)",UvarDwAAQBAJ
161,Legaspi,"Legaspi, <i>Wisdom in Classical and Biblical Tradition</i> (2018)",AWFmDwAAQBAJ
162,Mikalson,"Mikalson, <i>Greek Popular Religion in Greek Philosophy</i> (2010)",VsSDBu3pG4gC
163,Janowitz,"Janowitz, <i>Magic in the Roman World: Pagans, Jews and Christians</i> (2002)",pYLzZJrxQYYC
164,Hasler,"Halser, <i>Archival Historiography in Jewish Antiquity</i> (2020)",uKnDDwAAQBAJ
165,Humfress,"Humfress, <i>Oppian's Halieutica: Charting a Didactic Epic</i> (2007)",3XYSDAAAQBAJ
166,Keener,"Keener, <i>First-Second Corinthians</i> (2005)",q7R2NFp8mtwC
167,Panoussi,"Panoussi, <i>Brides, Mourners, Bacchae: Women's Rituals in Roman Literature</i> (2019)",eeiVDwAAQBAJ
168,Santangelo,"Santangelo, <i>Roman Frugality: Modes of Moderation from the Archaic Age to the Early Empire and Beyond</i> (2013)",9wS_UyAi9G8C
169,Poorthuis,"Poorthuis Schwartz and Turner, <i>Interaction Between Judaism and Christianity in History, Religion, Art, and Literature</i> (2009)",NfNli0QOJtgC
170,Levine_Allison,"Levine Allison and Crossan, <i>The Historical Jesus in Context</i> (2006)",wMbEyeDSQQgC
171,Pillinger,"Pillinger, <i>Cassandra and the Poetics of Prophecy in Greek and Latin Literature</i> (2019)",cm2MDwAAQBAJ
172,Najman,"Najman, <i>The Significance of Sinai: Traditions about Sinai and Divine Revelation in Judaism and Christianity</i> (2010)",DmmLKbts2HsC
